,favorite_count,retweet_count,tweet_id
378,5499,281,826598799820865537
379,10821,2594,826598365270007810
380,19780,4648,826476773533745153
381,14250,2871,826240494070030336
382,5238,1037,826204788643753985
383,16851,3471,826115272272650244
384,11251,2068,825876512159186944
385,13698,2756,825829644528148480
386,55968,19073,825535076884762624
387,19681,5069,825147591692263424
388,0,1431,825120256414846976
389,6841,1431,825026590719483904
390,0,6088,824796380199809024
391,16110,3917,824775126675836928
392,10837,1930,824663926340194305
393,12666,11525,824325613288833024
394,16180,4285,824297048279236611
395,5139,655,824025158776213504
396,11483,3011,823939628516474880
397,0,12488,823719002937630720
398,13538,2681,823699002998870016
399,14040,2945,823581115634085888
400,753,29,823333489516937216
401,16963,4470,823322678127919110
402,0,10959,823269594223824897
403,18646,3820,822975315408461824
404,142681,48819,822872901745569793
405,14228,2539,822859134160621569
406,0,7123,822647212903690241
407,15913,3295,822610361945911296
408,19565,7123,822489057087389700
409,30792,16390,822462944365645825
410,37802,10959,822244816520155136
411,0,5357,822163064745328640
412,12256,2609,821886076407029760
413,0,3718,821813639212650496
414,9095,1852,821765923262631936
415,8643,1963,821522889702862852
416,0,6219,821421320206483457
417,12710,4852,821407182352777218
418,276,10,821153421864615936
419,9430,2243,821149554670182400
420,10372,2374,821107785811234820
421,13648,2550,821044531881721856
422,0,7449,820837357901512704
423,34091,11061,820749716845686786
424,13176,3586,820690176645140481
425,0,633,820494788566847489
426,0,2873,820446719150292993
427,3599,633,820314633777061888
428,21379,6993,820078625395449857
429,0,1320,820013781606658049
430,5749,1320,819952236453363712
431,13898,5396,819924195358416896
432,14539,3491,819711362133872643
433,10332,2195,819588359383371776
434,7801,1336,819347104292290561
435,2476,450,819238181065359361
436,24968,7449,819227688460238848
437,0,40834,819015337530290176
438,0,21058,819015331746349057
439,48729,21058,819006400881917954
440,93304,40834,819004803107983360
441,0,23243,818646164899774465
442,23994,8305,818627210458333184
443,10665,2880,818614493328580609
444,0,6855,818588835076603904
445,11809,2763,818536468981415936
446,0,9055,818307523543449600
447,11923,2543,818259473185828864
448,13300,2895,818145370475810820
449,5228,879,817908911860748288
450,56134,30231,817827839487737858
451,11571,2976,817777686764523521
452,12760,3389,817536400337801217
453,0,3793,817502432452313088
454,37080,16735,817423860136083457
455,6087,1075,817415592588222464
456,0,9506,817181837579653120
457,9438,2243,817171292965273600
458,13140,2924,817120970343411712
459,9269,1844,817056546584727552
460,0,5268,816829038950027264
461,10806,2276,816816676327063552
462,10608,2454,816697700272001025
463,33100,9055,816450570814898180
464,9316,2181,816336735214911488
465,9661,2404,816091915477250048
466,0,1169,816062466425819140
467,0,5932,816014286006976512
468,5406,1169,815990720817401858
469,24331,9506,815966073409433600
470,0,4617,815745968457060357
471,10651,2534,815736392542261248
472,8909,1839,815639385530101762
473,11196,4249,815390420867969024
474,8273,1440,814986499976527872
475,12226,3031,814638523311648768
476,0,6508,814578408554463233
477,9386,2068,814530161257443328
478,31149,9728,814153002265309185
479,0,3601,813944609378369540
480,10060,2105,813910438903693312
481,39385,15671,813812741911748608
482,9043,1968,813800681631023104
483,20268,8150,813217897535406080
484,9945,2014,813202720496779264
485,21512,4887,813187593374461952
486,10125,2150,813172488309972993
487,8398,2477,813157409116065792
488,9123,2639,813142292504645637
489,4845,495,813130366689148928
490,12867,3501,813127251579564032
491,11208,3084,813112105746448384
492,11410,4041,813096984823349248
493,10709,3099,813081950185472002
494,8621,2175,813066809284972545
495,22729,8196,813051746834595840
496,8209,2137,812781120811126785
497,0,7780,812747805718642688
498,7190,1606,812709060537683968
499,6593,1373,812503143955202048
500,8681,2157,812466873996607488
501,14851,4103,812372279581671427
502,7878,1577,811985624773361665
503,8188,1805,811744202451197953
504,6053,830,811647686436880384
505,13908,3512,811627233043480576
506,22685,7168,811386762094317568
507,5792,1603,810984652412424192
508,9824,2000,810896069567610880
509,11908,2955,810657578271330305
510,38531,12810,810284430598270976
511,15938,3753,810254108431155201
512,16815,4361,809920764300447744
513,0,5494,809808892968534016
514,7521,1646,809448704142938112
515,21661,6301,809220051211603969
516,14356,3931,809084759137812480
517,10969,3403,808838249661788160
518,8589,2425,808733504066486276
519,12262,2905,808501579447930884
